,YEAR,Team,W,L,T,PCT,PF,PA,DIFF,Gms_Off,Tot Pts_x,Pts/G_Off,RushYds_Off,RYds/G_Off,PassYds_Off,PYds/G_Off,TotYds_Off,Yds/G_Off,Gms_Def,Tot Pts_y,Pts/G_Def,RushYds_Def,RYds/G_Def,PassYds_Def,PYds/G_Def,TotYds_Def,Yds/G_Def
0,2021,Arizona Cardinals,11,6,0,0.647,449,366,83,17,330,19.4,2365,139.1,3144,184.9,5509,324.1,17,366,21.5,1952,114.8,3645,214.4,5597,329.2
1,2021,Atlanta Falcons,7,10,0,0.412,313,459,-146,17,321,18.9,2159,127.0,3524,207.3,5683,334.3,17,459,27.0,2242,131.9,3952,232.5,6194,364.4
2,2021,Baltimore Ravens,8,9,0,0.471,387,392,-5,17,483,28.4,2661,156.5,3635,213.8,6296,370.4,17,392,23.1,1436,84.5,4742,278.9,6178,363.4
3,2021,Buffalo Bills,11,6,0,0.647,483,289,194,17,451,26.5,2212,130.1,4154,244.4,6366,374.5,17,289,17.0,1866,109.8,2771,163.0,4637,272.8
4,2021,Carolina Panthers,5,12,0,0.294,304,404,-100,17,236,13.9,1769,104.1,2741,161.2,4510,265.3,17,404,23.8,1935,113.8,3266,192.1,5201,305.9
5,2021,Chicago Bears,6,11,0,0.353,311,407,-96,17,360,21.2,2399,141.1,3096,182.1,5495,323.2,17,407,23.9,2127,125.1,3257,191.6,5384,316.7
6,2021,Cincinnati Bengals,10,7,0,0.588,460,376,84,17,366,21.5,1527,89.8,3895,229.1,5422,318.9,17,376,22.1,1742,102.5,4222,248.4,5964,350.8
7,2021,Cleveland Browns,8,9,0,0.471,349,371,-22,17,396,23.3,2017,118.6,3693,217.2,5710,335.9,17,371,21.8,1857,109.2,3439,202.3,5296,311.5
8,2021,Dallas Cowboys,12,5,0,0.706,530,358,172,17,509,29.9,1920,112.9,4397,258.6,6317,371.6,17,358,21.1,1918,112.8,4049,238.2,5967,351.0
9,2021,Denver Broncos,7,10,0,0.412,335,322,13,17,357,21.0,1810,106.5,3262,191.9,5072,298.4,17,322,18.9,1892,111.3,3652,214.8,5544,326.1
10,2021,Detroit Lions,3,13,1,0.206,325,467,-142,17,461,27.1,2311,135.9,4401,258.9,6712,394.8,17,467,27.5,2296,135.1,4160,244.7,6456,379.8
11,2021,Green Bay Packers,13,4,0,0.765,450,371,79,17,383,22.5,1905,112.1,3968,233.4,5873,345.5,17,371,21.8,1855,109.1,3724,219.1,5579,328.2
12,2021,Houston Texans,4,13,0,0.235,280,452,-172,17,377,22.2,1647,96.9,4173,245.5,5820,342.4,17,452,26.6,2418,142.2,4117,242.2,6535,384.4
13,2021,Indianapolis Colts,9,8,0,0.529,451,365,86,17,396,23.3,2059,121.1,3666,215.6,5725,336.8,17,365,21.5,1854,109.1,3980,234.1,5834,343.2
14,2021,Jacksonville Jaguars,3,14,0,0.176,253,457,-204,17,377,22.2,1646,96.8,4126,242.7,5772,339.5,17,457,26.9,2127,125.1,3875,227.9,6002,353.1
15,2021,Kansas City Chiefs,12,5,0,0.706,480,364,116,17,371,21.8,1784,104.9,4188,246.4,5972,351.3,17,364,21.4,1999,117.6,4273,251.4,6272,368.9
16,2021,Las Vegas Raiders,10,7,0,0.588,374,439,-65,17,332,19.5,1542,90.7,3380,198.8,4922,289.5,17,439,25.8,1943,114.3,3789,222.9,5732,337.2
17,2021,Los Angeles Chargers,9,8,0,0.529,474,459,15,17,346,20.4,1642,96.6,3957,232.8,5599,329.4,17,459,27.0,2361,138.9,3761,221.2,6122,360.1
18,2021,Los Angeles Rams,12,5,0,0.706,460,372,88,17,404,23.8,2045,120.3,4063,239.0,6108,359.3,17,372,21.9,1754,103.2,4109,241.7,5863,344.9
19,2021,Miami Dolphins,9,8,0,0.529,341,373,-32,17,496,29.2,2308,135.8,4514,265.5,6822,401.3,17,373,21.9,1867,109.8,3871,227.7,5738,337.5
20,2021,Minnesota Vikings,8,9,0,0.471,425,426,-1,17,344,20.2,1553,91.4,4359,256.4,5912,347.8,17,426,25.1,2222,130.7,4300,252.9,6522,383.6
