YEAR,Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
2024,Tennessee Titans,4,90,22.5,479,119.8,496,124,975,243.8
2024,New York Jets,5,85,17,596,119.2,683,136.6,1279,255.8
2024,Denver Broncos,5,73,14.6,557,111.4,799,159.8,1356,271.2
2024,Houston Texans,5,114,22.8,601,120.2,770,154,1371,274.2
2024,Los Angeles Chargers,4,50,12.5,376,94,754,188.5,1130,282.5
2024,Miami Dolphins,5,113,22.6,629,125.8,798,159.6,1427,285.4
2024,Chicago Bears,5,85,17,604,120.8,870,174,1474,294.8
2024,Pittsburgh Steelers,5,73,14.6,456,91.2,1034,206.8,1490,298
2024,Kansas City Chiefs,5,85,17,442,88.4,1085,217,1527,305.4
2024,San Francisco 49ers,5,106,21.2,554,110.8,985,197,1539,307.8
2024,Seattle Seahawks,5,114,22.8,640,128,915,183,1555,311
2024,New York Giants,5,104,20.8,577,115.4,1003,200.6,1580,316
2024,Cleveland Browns,5,121,24.2,708,141.6,922,184.4,1630,326
2024,Washington Commanders,5,115,23,650,130,990,198,1640,328
2024,Dallas Cowboys,5,121,24.2,675,135,972,194.4,1647,329.4
2024,Minnesota Vikings,5,76,15.2,336,67.2,1315,263,1651,330.2
2024,Las Vegas Raiders,5,131,26.2,659,131.8,1007,201.4,1666,333.2
2024,Atlanta Falcons,5,115,23,742,148.4,937,187.4,1679,335.8
2024,Baltimore Ravens,5,126,25.2,302,60.4,1401,280.2,1703,340.6
2024,Buffalo Bills,5,106,21.2,720,144,992,198.4,1712,342.4
2024,Green Bay Packers,5,108,21.6,571,114.2,1158,231.6,1729,345.8
2024,Detroit Lions,4,82,20.5,363,90.8,1033,258.2,1396,349
2024,New Orleans Saints,5,96,19.2,525,105,1256,251.2,1781,356.2
2024,New England Patriots,5,102,20.4,590,118,1195,239,1785,357
2024,Arizona Cardinals,5,129,25.8,739,147.8,1064,212.8,1803,360.6
2024,Cincinnati Bengals,5,145,29,757,151.4,1070,214,1827,365.4
2024,Philadelphia Eagles,4,96,24,515,128.8,948,237,1463,365.8
2024,Carolina Panthers,5,165,33,723,144.6,1133,226.6,1856,371.2
2024,Los Angeles Rams,5,139,27.8,788,157.6,1076,215.2,1864,372.8
2024,Tampa Bay Buccaneers,5,114,22.8,599,119.8,1292,258.4,1891,378.2
2024,Jacksonville Jaguars,5,143,28.6,528,105.6,1439,287.8,1967,393.4
2024,Indianapolis Colts,5,122,24.4,785,157,1311,262.2,2096,419.2
2023,Cleveland Browns,17,362,21.3,1793,105.5,2800,164.7,4593,270.2
2023,Kansas City Chiefs,17,294,17.3,1925,113.2,3001,176.5,4926,289.8
2023,New York Jets,17,355,20.9,2108,124,2861,168.3,4969,292.3
2023,Carolina Panthers,17,416,24.5,2081,122.4,2916,171.5,4997,293.9
2023,Dallas Cowboys,17,315,18.5,1910,112.4,3185,187.4,5095,299.7
2023,Baltimore Ravens,17,280,16.5,1860,109.4,3263,191.9,5123,301.4
2023,New England Patriots,17,366,21.5,1584,93.2,3543,208.4,5127,301.6
2023,San Francisco 49ers,17,298,17.5,1525,89.7,3642,214.2,5167,303.9
2023,Buffalo Bills,17,311,18.3,1880,110.6,3342,196.6,5222,307.2
2023,Miami Dolphins,17,391,23,1650,97.1,3761,221.2,5411,318.3
2023,Atlanta Falcons,17,373,21.9,2009,118.2,3449,202.9,5458,321.1
2023,Chicago Bears,17,379,22.3,1468,86.4,4043,237.8,5511,324.2
2023,New Orleans Saints,17,327,19.2,2038,119.9,3524,207.3,5562,327.2
2023,Houston Texans,17,353,20.8,1643,96.6,3979,234.1,5622,330.7
2023,Las Vegas Raiders,17,331,19.5,2015,118.5,3610,212.4,5625,330.9
2023,Minnesota Vikings,17,362,21.3,1678,98.7,3986,234.5,5664,333.2
2023,Green Bay Packers,17,350,20.6,2181,128.3,3515,206.8,5696,335.1
2023,Tennessee Titans,17,367,21.6,1831,107.7,3866,227.4,5697,335.1
2023,Detroit Lions,17,395,23.2,1509,88.8,4205,247.4,5714,336.1
2023,Los Angeles Rams,17,377,22.2,1816,106.8,3928,231.1,5744,337.9
2023,Pittsburgh Steelers,17,324,19.1,1956,115.1,3860,227.1,5816,342.1
2023,Jacksonville Jaguars,17,371,21.8,1752,103.1,4076,239.8,5828,342.8
2023,Tampa Bay Buccaneers,17,325,19.1,1620,95.3,4232,248.9,5852,344.2
2023,Indianapolis Colts,17,415,24.4,2105,123.8,3842,226,5947,349.8
2023,Arizona Cardinals,17,455,26.8,2434,143.2,3613,212.5,6047,355.7
2023,Philadelphia Eagles,17,428,25.2,1758,103.4,4296,252.7,6054,356.1
2023,New York Giants,17,407,23.9,2251,132.4,3898,229.3,6149,361.7
2023,Los Angeles Chargers,17,398,23.4,1924,113.2,4246,249.8,6170,362.9
2023,Denver Broncos,17,413,24.3,2331,137.1,3972,233.6,6303,370.8
2023,Seattle Seahawks,17,402,23.6,2352,138.4,3961,233,6313,371.4
2023,Cincinnati Bengals,17,384,22.6,2145,126.2,4223,248.4,6368,374.6
2023,Washington Commanders,17,518,30.5,2155,126.8,4457,262.2,6612,388.9
2022,San Francisco 49ers,17,277,16.3,1321,77.7,3789,222.9,5110,300.6
2022,Philadelphia Eagles,17,344,20.2,2068,121.6,3057,179.8,5125,301.5
2022,Washington Commanders,17,343,20.2,1926,113.3,3252,191.3,5178,304.6
2022,New York Jets,17,316,18.6,2068,121.6,3220,189.4,5288,311.1
2022,New Orleans Saints,17,345,20.3,2218,130.5,3134,184.4,5352,314.8
2022,Buffalo Bills,16,286,17.9,1673,104.6,3433,214.6,5106,319.1
2022,Denver Broncos,17,359,21.1,1866,109.8,3574,210.2,5440,320
2022,New England Patriots,17,347,20.4,1793,105.5,3681,216.5,5474,322
2022,Baltimore Ravens,17,315,18.5,1566,92.1,3947,232.2,5513,324.3
2022,Tampa Bay Buccaneers,17,358,21.1,2052,120.7,3461,203.6,5513,324.3
2022,Kansas City Chiefs,17,369,21.7,1823,107.2,3756,220.9,5579,328.2
2022,Dallas Cowboys,17,342,20.1,2198,129.3,3415,200.9,5613,330.2
2022,Pittsburgh Steelers,17,346,20.4,1838,108.1,3779,222.3,5617,330.4
2022,Cleveland Browns,17,381,22.4,2295,135,3336,196.2,5631,331.2
2022,Indianapolis Colts,17,427,25.1,2109,124.1,3569,209.9,5678,334
2022,Cincinnati Bengals,16,322,20.1,1706,106.6,3665,229.1,5371,335.7
2022,Green Bay Packers,17,371,21.8,2372,139.5,3349,197,5721,336.5
2022,Miami Dolphins,17,399,23.5,1751,103,3992,234.8,5743,337.8
2022,Los Angeles Rams,17,384,22.6,1956,115.1,3842,226,5798,341.1
2022,Los Angeles Chargers,17,384,22.6,2478,145.8,3406,200.4,5884,346.1
2022,Arizona Cardinals,17,449,26.4,2016,118.6,3915,230.3,5931,348.9
2022,Carolina Panthers,17,374,22,2085,122.6,3868,227.5,5953,350.2
2022,Tennessee Titans,17,359,21.1,1307,76.9,4671,274.8,5978,351.6
2022,Jacksonville Jaguars,17,350,20.6,1951,114.8,4055,238.5,6006,353.3
2022,New York Giants,17,371,21.8,2451,144.2,3638,214,6089,358.2
2022,Seattle Seahawks,17,401,23.6,2554,150.2,3595,211.5,6149,361.7
2022,Atlanta Falcons,17,386,22.7,2214,130.2,3942,231.9,6156,362.1
2022,Las Vegas Raiders,17,418,24.6,2087,122.8,4129,242.9,6216,365.6
2022,Chicago Bears,17,463,27.2,2674,157.3,3716,218.6,6390,375.9
2022,Houston Texans,17,420,24.7,2894,170.2,3558,209.3,6452,379.5
2022,Minnesota Vikings,17,427,25.1,2093,123.1,4515,265.6,6608,388.7
2022,Detroit Lions,17,427,25.1,2491,146.5,4179,245.8,6670,392.4
2021,Buffalo Bills,17,289,17,1866,109.8,2771,163,4637,272.8
2021,Carolina Panthers,17,404,23.8,1935,113.8,3266,192.1,5201,305.9
2021,San Francisco 49ers,17,365,21.5,1760,103.5,3510,206.5,5270,310
2021,New England Patriots,17,303,17.8,2103,123.7,3181,187.1,5284,310.8
2021,Cleveland Browns,17,371,21.8,1857,109.2,3439,202.3,5296,311.5
2021,Chicago Bears,17,407,23.9,2127,125.1,3257,191.6,5384,316.7
2021,New Orleans Saints,17,335,19.7,1589,93.5,3821,224.8,5410,318.2
2021,Denver Broncos,17,322,18.9,1892,111.3,3652,214.8,5544,326.1
2021,Green Bay Packers,17,371,21.8,1855,109.1,3724,219.1,5579,328.2
2021,Philadelphia Eagles,17,385,22.6,1834,107.9,3756,220.9,5590,328.8
2021,Arizona Cardinals,17,366,21.5,1952,114.8,3645,214.4,5597,329.2
2021,Tennessee Titans,17,354,20.8,1438,84.6,4169,245.2,5607,329.8
2021,Tampa Bay Buccaneers,17,353,20.8,1573,92.5,4062,238.9,5635,331.5
2021,Las Vegas Raiders,17,439,25.8,1943,114.3,3789,222.9,5732,337.2
2021,Miami Dolphins,17,373,21.9,1867,109.8,3871,227.7,5738,337.5
2021,Indianapolis Colts,17,365,21.5,1854,109.1,3980,234.1,5834,343.2
2021,Los Angeles Rams,17,372,21.9,1754,103.2,4109,241.7,5863,344.9
2021,Cincinnati Bengals,17,376,22.1,1742,102.5,4222,248.4,5964,350.8
2021,Dallas Cowboys,17,358,21.1,1918,112.8,4049,238.2,5967,351
2021,Jacksonville Jaguars,17,457,26.9,2127,125.1,3875,227.9,6002,353.1
2021,New York Giants,17,416,24.5,2193,129,3839,225.8,6032,354.8
2021,Washington Commanders,17,434,25.5,1775,104.4,4333,254.9,6108,359.3
2021,Los Angeles Chargers,17,459,27,2361,138.9,3761,221.2,6122,360.1
2021,Pittsburgh Steelers,17,398,23.4,2483,146.1,3656,215.1,6139,361.1
2021,Baltimore Ravens,17,392,23.1,1436,84.5,4742,278.9,6178,363.4
2021,Atlanta Falcons,17,459,27,2242,131.9,3952,232.5,6194,364.4
2021,Kansas City Chiefs,17,364,21.4,1999,117.6,4273,251.4,6272,368.9
2021,Seattle Seahawks,17,366,21.5,1932,113.6,4513,265.5,6445,379.1
2021,Detroit Lions,17,467,27.5,2296,135.1,4160,244.7,6456,379.8
2021,Minnesota Vikings,17,426,25.1,2222,130.7,4300,252.9,6522,383.6
2021,Houston Texans,17,452,26.6,2418,142.2,4117,242.2,6535,384.4
2021,New York Jets,17,504,29.6,2351,138.3,4409,259.4,6760,397.6
